id,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
63,RJ85,Medium,08:25:00,30300,08:15:47,29747,0.64,0.94,1.54,3.24
64,A320,Medium,08:25:00,30300,08:14:37,29677,0.83,1.25,2.02,4.19
65,B744,Heavy,08:26:00,30360,08:26:00,30360,2.37,3.42,5.58,11.79
66,B772,Heavy,08:27:00,30420,08:27:00,30420,1.83,2.68,4.41,9.35
67,XXXX,Light,08:27:00,30420,08:27:00,30420,0.12,0.19,0.33,0.75
68,CRJX,Medium,08:30:00,30600,08:10:15,29415,0.35,0.51,0.85,1.84
69,A333,Heavy,08:30:00,30600,08:30:00,30600,1.57,2.31,3.79,8.04
70,AT45,Medium,08:30:00,30600,08:13:23,29603,0.26,0.38,0.61,1.27
71,XXXX,Light,08:31:00,30660,08:31:00,30660,0.12,0.19,0.33,0.75
72,XXXX,Light,08:33:00,30780,08:33:00,30780,0.12,0.19,0.33,0.75
73,A343,Heavy,08:34:00,30840,08:34:00,30840,1.63,2.39,3.94,8.42
74,XXXX,Light,08:35:00,30900,08:35:00,30900,0.12,0.19,0.33,0.75
75,A333,Heavy,08:35:00,30900,08:35:00,30900,1.57,2.31,3.79,8.04
76,B77W,Heavy,08:35:00,30900,08:33:24,30804,2.97,4.37,7.09,14.74
77,A333,Heavy,08:35:00,30900,09:06:15,32775,1.57,2.31,3.79,8.04
78,A320,Medium,08:35:00,30900,08:21:17,30077,0.83,1.25,2.02,4.19
79,XXXX,Light,08:38:00,31080,08:38:00,31080,0.12,0.19,0.33,0.75
80,XXXX,Light,08:41:00,31260,08:41:00,31260,0.12,0.19,0.33,0.75
81,XXXX,Light,08:44:00,31440,08:44:00,31440,0.12,0.19,0.33,0.75
82,A318,Medium,08:45:00,31500,08:54:27,32067,0.74,1.09,1.78,3.73
83,A319,Medium,08:45:00,31500,08:23:17,30197,0.73,1.12,1.8,3.68
84,B744,Heavy,08:46:00,31560,08:46:00,31560,2.37,3.42,5.58,11.79
85,XXXX,Light,08:48:00,31680,08:48:00,31680,0.12,0.19,0.33,0.75
86,A320,Medium,08:50:00,31800,08:24:46,30286,0.83,1.25,2.02,4.19
87,A333,Heavy,08:50:00,31800,08:39:41,31181,1.57,2.31,3.79,8.04
88,B738,Medium,08:50:00,31800,08:26:26,30386,0.83,1.28,2.1,4.38
89,A333,Heavy,08:53:00,31980,08:53:00,31980,1.57,2.31,3.79,8.04
90,B77W,Heavy,08:53:00,31980,08:53:00,31980,2.97,4.37,7.09,14.74
91,B744,Heavy,08:56:00,32160,08:56:00,32160,2.37,3.42,5.58,11.79
92,A343,Heavy,08:57:00,32220,08:57:00,32220,1.63,2.39,3.94,8.42
93,B772,Heavy,09:00:00,32400,08:58:14,32294,1.83,2.68,4.41,9.35
94,B744,Heavy,09:00:00,32400,09:11:24,33084,2.37,3.42,5.58,11.79
95,B77W,Heavy,09:05:00,32700,09:05:00,32700,2.97,4.37,7.09,14.74
96,A320,Medium,09:05:00,32700,09:26:16,33976,0.83,1.25,2.02,4.19
97,B77W,Heavy,09:08:00,32880,09:08:00,32880,2.97,4.37,7.09,14.74
98,XXXX,Light,09:09:00,32940,09:09:00,32940,0.12,0.19,0.33,0.75
99,B738,Medium,09:10:00,33000,08:47:02,31622,0.83,1.28,2.1,4.38
100,XXXX,Light,09:12:00,33120,09:12:00,33120,0.12,0.19,0.33,0.75
101,B772,Heavy,09:16:00,33360,09:16:00,33360,1.83,2.68,4.41,9.35
102,B744,Heavy,09:19:00,33540,09:19:00,33540,2.37,3.42,5.58,11.79
103,B738,Medium,09:20:00,33600,09:11:24,33084,0.83,1.28,2.1,4.38
104,A319,Medium,09:20:00,33600,09:02:27,32547,0.73,1.12,1.8,3.68
105,A319,Medium,09:25:00,33900,09:08:17,32897,0.73,1.12,1.8,3.68
106,A321,Medium,09:25:00,33900,09:11:43,33103,0.93,1.42,2.37,4.97
107,A333,Heavy,09:27:00,34020,09:27:00,34020,1.57,2.31,3.79,8.04
108,A333,Heavy,09:27:00,34020,09:27:00,34020,1.57,2.31,3.79,8.04
109,A333,Heavy,09:29:00,34140,09:29:00,34140,1.57,2.31,3.79,8.04
110,XXXX,Light,09:29:00,34140,09:29:00,34140,0.12,0.19,0.33,0.75
111,A343,Heavy,09:29:00,34140,09:29:00,34140,1.63,2.39,3.94,8.42
112,B738,Medium,09:30:00,34200,09:19:06,33546,0.83,1.28,2.1,4.38
113,B77W,Heavy,09:30:00,34200,09:16:11,33371,2.97,4.37,7.09,14.74
114,XXXX,Light,09:30:00,34200,09:30:00,34200,0.12,0.19,0.33,0.75
115,A332,Heavy,09:31:00,34260,09:22:28,33748,1.57,2.28,3.79,8.13
116,XXXX,Light,09:32:00,34320,09:32:00,34320,0.12,0.19,0.33,0.75
117,B744,Heavy,09:34:00,34440,09:34:00,34440,2.37,3.42,5.58,11.79
118,XXXX,Light,09:35:00,34500,09:35:00,34500,0.12,0.19,0.33,0.75
119,A318,Medium,09:35:00,34500,09:38:57,34737,0.74,1.09,1.78,3.73
120,B738,Medium,09:35:00,34500,09:27:27,34047,0.83,1.28,2.1,4.38
121,A320,Medium,09:35:00,34500,09:37:56,34676,0.83,1.25,2.02,4.19
122,A319,Medium,09:35:00,34500,09:31:10,34270,0.73,1.12,1.8,3.68
123,A333,Heavy,09:40:00,34800,09:40:00,34800,1.57,2.31,3.79,8.04
124,A319,Medium,09:40:00,34800,09:29:27,34167,0.73,1.12,1.8,3.68
125,A320,Medium,09:40:00,34800,09:46:53,35213,0.83,1.25,2.02,4.19
126,B744,Heavy,09:45:00,35100,09:45:00,35100,2.37,3.42,5.58,11.79
127,B744,Heavy,09:46:00,35160,09:46:00,35160,2.37,3.42,5.58,11.79
128,XXXX,Light,09:47:00,35220,09:47:00,35220,0.12,0.19,0.33,0.75
129,A319,Medium,09:50:00,35400,09:32:34,34354,0.73,1.12,1.8,3.68
130,A320,Medium,09:50:00,35400,09:51:38,35498,0.83,1.25,2.02,4.19
131,XXXX,Light,09:54:00,35640,09:54:00,35640,0.12,0.19,0.33,0.75
132,CRJX,Medium,09:55:00,35700,09:54:14,35654,0.35,0.51,0.85,1.84
133,CRJ7,Medium,09:55:00,35700,09:33:58,34438,0.41,0.61,1.0,2.11
134,A321,Medium,09:55:00,35700,09:42:09,34929,0.93,1.42,2.37,4.97
135,B77W,Heavy,09:57:00,35820,09:57:00,35820,2.97,4.37,7.09,14.74
136,E145,Medium,10:00:00,36000,10:06:49,36409,0.3,0.45,0.73,1.55
137,A320,Medium,10:00:00,36000,09:49:21,35361,0.83,1.25,2.02,4.19
138,E145,Medium,10:00:00,36000,09:59:56,35996,0.3,0.45,0.73,1.55
139,B772,Heavy,10:01:00,36060,10:01:00,36060,1.83,2.68,4.41,9.35
140,A343,Heavy,10:01:00,36060,10:01:00,36060,1.63,2.39,3.94,8.42
141,XXXX,Light,10:01:00,36060,10:01:00,36060,0.12,0.19,0.33,0.75
142,XXXX,Light,10:05:00,36300,10:05:00,36300,0.12,0.19,0.33,0.75
143,A333,Heavy,10:10:00,36600,10:10:38,36638,1.57,2.31,3.79,8.04
144,A333,Heavy,10:10:00,36600,10:10:00,36600,1.57,2.31,3.79,8.04
145,A318,Medium,10:10:00,36600,09:59:27,35967,0.74,1.09,1.78,3.73
146,A319,Medium,10:10:00,36600,10:03:14,36194,0.73,1.12,1.8,3.68
147,A343,Heavy,10:11:00,36660,10:11:00,36660,1.63,2.39,3.94,8.42
148,XXXX,Light,10:12:00,36720,10:12:00,36720,0.12,0.19,0.33,0.75
149,A343,Heavy,10:14:00,36840,10:14:00,36840,1.63,2.39,3.94,8.42
150,CRJX,Medium,10:15:00,36900,10:20:53,37253,0.35,0.51,0.85,1.84
151,XXXX,Light,10:15:00,36900,10:15:00,36900,0.12,0.19,0.33,0.75
152,B738,Medium,10:15:00,36900,10:04:45,36285,0.83,1.28,2.1,4.38
153,CRJX,Medium,10:20:00,37200,10:22:51,37371,0.35,0.51,0.85,1.84
154,A332,Heavy,10:20:00,37200,10:37:58,38278,1.57,2.28,3.79,8.13
155,E145,Medium,10:20:00,37200,10:26:00,37560,0.3,0.45,0.73,1.55
156,A320,Medium,10:25:00,37500,10:43:40,38620,0.83,1.25,2.02,4.19
157,B77W,Heavy,10:26:00,37560,10:26:00,37560,2.97,4.37,7.09,14.74
158,XXXX,Light,10:27:00,37620,10:27:00,37620,0.12,0.19,0.33,0.75
159,XXXX,Light,10:27:00,37620,10:27:00,37620,0.12,0.19,0.33,0.75
160,A321,Medium,10:30:00,37800,10:16:12,36972,0.93,1.42,2.37,4.97
161,B738,Medium,10:30:00,37800,10:08:13,36493,0.83,1.28,2.1,4.38
162,A320,Medium,10:30:00,37800,10:23:06,37386,0.83,1.25,2.02,4.19
163,B744,Heavy,10:32:00,37920,10:32:00,37920,2.37,3.42,5.58,11.79
164,A343,Heavy,10:32:00,37920,10:32:00,37920,1.63,2.39,3.94,8.42
165,B77W,Heavy,10:35:00,38100,10:18:32,37112,2.97,4.37,7.09,14.74
166,B772,Heavy,10:38:00,38280,10:38:00,38280,1.83,2.68,4.41,9.35
167,A321,Medium,10:40:00,38400,11:08:42,40122,0.93,1.42,2.37,4.97
168,B77W,Heavy,10:41:00,38460,10:41:00,38460,2.97,4.37,7.09,14.74
169,XXXX,Light,10:42:00,38520,10:42:00,38520,0.12,0.19,0.33,0.75
170,CRJX,Medium,10:45:00,38700,10:30:17,37817,0.35,0.51,0.85,1.84
171,E145,Medium,10:45:00,38700,10:31:47,37907,0.3,0.45,0.73,1.55
172,B738,Medium,10:45:00,38700,10:33:05,37985,0.83,1.28,2.1,4.38
173,XXXX,Light,10:46:00,38760,10:46:00,38760,0.12,0.19,0.33,0.75
174,B772,Heavy,10:47:00,38820,10:47:00,38820,1.83,2.68,4.41,9.35
175,B77W,Heavy,10:47:00,38820,10:47:00,38820,2.97,4.37,7.09,14.74
176,A321,Medium,10:50:00,39000,10:53:54,39234,0.93,1.42,2.37,4.97
177,A320,Medium,10:50:00,39000,10:41:48,38508,0.83,1.25,2.02,4.19
178,B77W,Heavy,10:52:00,39120,10:52:00,39120,2.97,4.37,7.09,14.74
179,B738,Medium,10:55:00,39300,10:43:09,38589,0.83,1.28,2.1,4.38
180,B734,Medium,10:55:00,39300,11:34:23,41663,0.83,1.22,1.94,3.99
181,B772,Heavy,10:58:00,39480,10:58:00,39480,1.83,2.68,4.41,9.35
182,B738,Medium,11:00:00,39600,11:10:54,40254,0.83,1.28,2.1,4.38
183,E170,Medium,11:00:00,39600,10:48:02,38882,0.46,0.67,1.1,2.31
184,CRJX,Medium,11:00:00,39600,11:16:07,40567,0.35,0.51,0.85,1.84
