,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
31,XXXX,Light,11:47:00,42420,11:47:00,42420,0.12,0.19,0.33,0.75
32,B772,Heavy,11:47:00,42420,11:47:00,42420,1.83,2.68,4.41,9.35
33,A333,Heavy,11:48:00,42480,11:48:00,42480,1.57,2.31,3.79,8.04
34,B772,Heavy,11:49:00,42540,11:49:00,42540,1.83,2.68,4.41,9.35
35,XXXX,Light,11:49:00,42540,11:49:00,42540,0.12,0.19,0.33,0.75
36,XXXX,Light,11:50:00,42600,11:50:00,42600,0.12,0.19,0.33,0.75
37,B772,Heavy,11:50:00,42600,11:50:00,42600,1.83,2.68,4.41,9.35
38,A320,Medium,11:50:00,42600,12:04:05,43445,0.83,1.25,2.02,4.19
39,XXXX,Light,11:51:00,42660,11:51:00,42660,0.12,0.19,0.33,0.75
40,B77W,Heavy,11:51:00,42660,11:51:00,42660,2.97,4.37,7.09,14.74
41,A343,Heavy,11:53:00,42780,11:53:00,42780,1.63,2.39,3.94,8.42
42,B77W,Heavy,11:53:00,42780,11:53:00,42780,2.97,4.37,7.09,14.74
43,A333,Heavy,11:54:00,42840,11:54:00,42840,1.57,2.31,3.79,8.04
44,B738,Medium,11:55:00,42900,11:47:38,42458,0.83,1.28,2.1,4.38
45,A320,Medium,11:55:00,42900,11:36:32,41792,0.83,1.25,2.02,4.19
46,A343,Heavy,11:55:00,42900,11:55:00,42900,1.63,2.39,3.94,8.42
47,CRJX,Medium,11:55:00,42900,12:09:55,43795,0.35,0.51,0.85,1.84
48,B744,Heavy,11:57:00,43020,11:57:00,43020,2.37,3.42,5.58,11.79
49,XXXX,Light,11:58:00,43080,11:58:00,43080,0.12,0.19,0.33,0.75
50,B77W,Heavy,11:59:00,43140,11:59:00,43140,2.97,4.37,7.09,14.74
51,A343,Heavy,12:00:00,43200,12:00:00,43200,1.63,2.39,3.94,8.42
52,A343,Heavy,12:00:00,43200,12:00:00,43200,1.63,2.39,3.94,8.42
53,A320,Medium,12:00:00,43200,11:32:53,41573,0.83,1.25,2.02,4.19
54,E145,Medium,12:00:00,43200,11:59:08,43148,0.3,0.45,0.73,1.55
55,A319,Medium,12:00:00,43200,11:51:25,42685,0.73,1.12,1.8,3.68
56,XXXX,Light,12:00:00,43200,12:00:00,43200,0.12,0.19,0.33,0.75
57,XXXX,Light,12:02:00,43320,12:02:00,43320,0.12,0.19,0.33,0.75
58,A321,Medium,12:05:00,43500,11:56:01,42961,0.93,1.42,2.37,4.97
59,B772,Heavy,12:05:00,43500,12:05:00,43500,1.83,2.68,4.41,9.35
60,A319,Medium,12:10:00,43800,12:09:48,43788,0.73,1.12,1.8,3.68
61,B738,Medium,12:10:00,43800,12:07:20,43640,0.83,1.28,2.1,4.38
62,A320,Medium,12:15:00,44100,12:02:16,43336,0.83,1.25,2.02,4.19
63,B738,Medium,12:15:00,44100,11:59:52,43192,0.83,1.28,2.1,4.38
64,A333,Heavy,12:15:00,44100,12:15:00,44100,1.57,2.31,3.79,8.04
65,A343,Heavy,12:16:00,44160,12:16:00,44160,1.63,2.39,3.94,8.42
66,B772,Heavy,12:16:00,44160,12:16:00,44160,1.83,2.68,4.41,9.35
67,B744,Heavy,12:17:00,44220,12:17:00,44220,2.37,3.42,5.58,11.79
68,A320,Medium,12:20:00,44400,12:22:15,44535,0.83,1.25,2.02,4.19
69,CRJX,Medium,12:20:00,44400,12:51:20,46280,0.35,0.51,0.85,1.84
70,B738,Medium,12:20:00,44400,11:54:19,42859,0.83,1.28,2.1,4.38
71,XXXX,Light,12:20:00,44400,12:20:00,44400,0.12,0.19,0.33,0.75
72,A343,Heavy,12:21:00,44460,12:21:00,44460,1.63,2.39,3.94,8.42
73,A320,Medium,12:25:00,44700,12:20:34,44434,0.83,1.25,2.02,4.19
74,XXXX,Light,12:25:00,44700,12:25:00,44700,0.12,0.19,0.33,0.75
75,XXXX,Light,12:26:00,44760,12:26:00,44760,0.12,0.19,0.33,0.75
76,B744,Heavy,12:27:00,44820,12:27:00,44820,2.37,3.42,5.58,11.79
77,A333,Heavy,12:27:00,44820,12:27:00,44820,1.57,2.31,3.79,8.04
78,B738,Medium,12:30:00,45000,12:21:17,44477,0.83,1.28,2.1,4.38
79,AT45,Medium,12:30:00,45000,12:16:09,44169,0.26,0.38,0.61,1.27
80,A343,Heavy,12:33:00,45180,12:33:00,45180,1.63,2.39,3.94,8.42
81,B738,Medium,12:35:00,45300,12:38:59,45539,0.83,1.28,2.1,4.38
82,A321,Medium,12:35:00,45300,12:14:25,44065,0.93,1.42,2.37,4.97
83,A319,Medium,12:40:00,45600,12:29:04,44944,0.73,1.12,1.8,3.68
84,B744,Heavy,12:40:00,45600,12:40:00,45600,2.37,3.42,5.58,11.79
85,AT45,Medium,12:40:00,45600,13:16:23,47783,0.26,0.38,0.61,1.27
86,XXXX,Light,12:40:00,45600,12:40:00,45600,0.12,0.19,0.33,0.75
87,XXXX,Light,12:40:00,45600,12:40:00,45600,0.12,0.19,0.33,0.75
88,A320,Medium,12:40:00,45600,12:48:16,46096,0.83,1.25,2.02,4.19
89,XXXX,Light,12:40:00,45600,12:40:00,45600,0.12,0.19,0.33,0.75
90,B744,Heavy,12:44:00,45840,12:44:00,45840,2.37,3.42,5.58,11.79
91,A320,Medium,12:45:00,45900,12:27:36,44856,0.83,1.25,2.02,4.19
92,B744,Heavy,12:47:00,46020,12:47:00,46020,2.37,3.42,5.58,11.79
93,B772,Heavy,12:49:00,46140,12:49:00,46140,1.83,2.68,4.41,9.35
94,B738,Medium,12:50:00,46200,12:54:54,46494,0.83,1.28,2.1,4.38
95,RJ85,Medium,12:50:00,46200,13:28:11,48491,0.64,0.94,1.54,3.24
96,A333,Heavy,12:52:00,46320,12:52:00,46320,1.57,2.31,3.79,8.04
97,XXXX,Light,12:54:00,46440,12:54:00,46440,0.12,0.19,0.33,0.75
98,A320,Medium,12:55:00,46500,12:47:59,46079,0.83,1.25,2.02,4.19
99,A319,Medium,12:55:00,46500,12:41:05,45665,0.73,1.12,1.8,3.68
100,B744,Heavy,12:59:00,46740,12:59:00,46740,2.37,3.42,5.58,11.79
101,XXXX,Light,12:59:00,46740,12:59:00,46740,0.12,0.19,0.33,0.75
102,B738,Medium,13:00:00,46800,13:29:20,48560,0.83,1.28,2.1,4.38
103,XXXX,Light,13:03:00,46980,13:03:00,46980,0.12,0.19,0.33,0.75
104,A343,Heavy,13:05:00,47100,13:05:00,47100,1.63,2.39,3.94,8.42
105,B738,Medium,13:05:00,47100,12:43:17,45797,0.83,1.28,2.1,4.38
106,A343,Heavy,13:06:00,47160,13:06:00,47160,1.63,2.39,3.94,8.42
107,XXXX,Light,13:06:00,47160,13:06:00,47160,0.12,0.19,0.33,0.75
108,XXXX,Light,13:07:00,47220,13:07:00,47220,0.12,0.19,0.33,0.75
109,A320,Medium,13:10:00,47400,13:26:18,48378,0.83,1.25,2.02,4.19
110,A321,Medium,13:10:00,47400,13:01:14,46874,0.93,1.42,2.37,4.97
111,B772,Heavy,13:10:00,47400,13:10:00,47400,1.83,2.68,4.41,9.35
112,B738,Medium,13:10:00,47400,12:39:07,45547,0.83,1.28,2.1,4.38
113,XXXX,Light,13:13:00,47580,13:13:00,47580,0.12,0.19,0.33,0.75
114,B772,Heavy,13:15:00,47700,13:15:00,47700,1.83,2.68,4.41,9.35
115,A320,Medium,13:15:00,47700,13:58:04,50284,0.83,1.25,2.02,4.19
116,A343,Heavy,13:17:00,47820,13:17:00,47820,1.63,2.39,3.94,8.42
117,B77W,Heavy,13:19:00,47940,13:19:00,47940,2.97,4.37,7.09,14.74
118,XXXX,Light,13:19:00,47940,13:19:00,47940,0.12,0.19,0.33,0.75
119,XXXX,Light,13:20:00,48000,13:20:00,48000,0.12,0.19,0.33,0.75
120,XXXX,Light,13:20:00,48000,13:20:00,48000,0.12,0.19,0.33,0.75
121,CRJX,Medium,13:20:00,48000,13:18:21,47901,0.35,0.51,0.85,1.84
122,A318,Medium,13:20:00,48000,13:11:20,47480,0.74,1.09,1.78,3.73
123,A332,Heavy,13:20:00,48000,13:32:25,48745,1.57,2.28,3.79,8.13
124,A320,Medium,13:20:00,48000,13:34:15,48855,0.83,1.25,2.02,4.19
125,B744,Heavy,13:24:00,48240,13:24:00,48240,2.37,3.42,5.58,11.79
126,A320,Medium,13:25:00,48300,13:42:51,49371,0.83,1.25,2.02,4.19
127,B738,Medium,13:25:00,48300,13:25:36,48336,0.83,1.28,2.1,4.38
128,A319,Medium,13:25:00,48300,13:08:52,47332,0.73,1.12,1.8,3.68
129,B772,Heavy,13:26:00,48360,13:26:00,48360,1.83,2.68,4.41,9.35
130,A343,Heavy,13:28:00,48480,13:28:00,48480,1.63,2.39,3.94,8.42
131,CRJX,Medium,13:30:00,48600,13:13:14,47594,0.35,0.51,0.85,1.84
132,A318,Medium,13:30:00,48600,13:18:32,47912,0.74,1.09,1.78,3.73
133,B772,Heavy,13:32:00,48720,13:32:00,48720,1.83,2.68,4.41,9.35
134,B772,Heavy,13:33:00,48780,13:33:00,48780,1.83,2.68,4.41,9.35
135,A343,Heavy,13:34:00,48840,13:34:00,48840,1.63,2.39,3.94,8.42
136,A320,Medium,13:35:00,48900,13:32:49,48769,0.83,1.25,2.02,4.19
137,A333,Heavy,13:35:00,48900,13:35:00,48900,1.57,2.31,3.79,8.04
138,A318,Medium,13:35:00,48900,13:23:44,48224,0.74,1.09,1.78,3.73
139,B772,Heavy,13:35:00,48900,13:49:31,49771,1.83,2.68,4.41,9.35
140,A332,Heavy,13:40:00,49200,13:44:00,49440,1.57,2.28,3.79,8.13
141,B77W,Heavy,13:40:00,49200,13:40:00,49200,2.97,4.37,7.09,14.74
142,B738,Medium,13:40:00,49200,13:19:27,47967,0.83,1.28,2.1,4.38
143,A343,Heavy,13:42:00,49320,13:42:00,49320,1.63,2.39,3.94,8.42
144,A333,Heavy,13:42:00,49320,13:42:00,49320,1.57,2.31,3.79,8.04
145,A343,Heavy,13:43:00,49380,13:43:00,49380,1.63,2.39,3.94,8.42
146,A321,Medium,13:45:00,49500,13:50:24,49824,0.93,1.42,2.37,4.97
147,A320,Medium,13:45:00,49500,14:07:27,50847,0.83,1.25,2.02,4.19
148,A333,Heavy,13:46:00,49560,13:46:00,49560,1.57,2.31,3.79,8.04
149,XXXX,Light,13:50:00,49800,13:50:00,49800,0.12,0.19,0.33,0.75
150,A320,Medium,13:50:00,49800,14:04:12,50652,0.83,1.25,2.02,4.19
151,B772,Heavy,13:50:00,49800,13:50:00,49800,1.83,2.68,4.41,9.35
152,CRJ7,Medium,13:50:00,49800,13:36:40,49000,0.41,0.61,1.0,2.11
153,A333,Heavy,13:52:00,49920,13:52:00,49920,1.57,2.31,3.79,8.04
154,A333,Heavy,13:53:00,49980,13:53:00,49980,1.57,2.31,3.79,8.04
155,A343,Heavy,13:55:00,50100,13:55:00,50100,1.63,2.39,3.94,8.42
156,B77W,Heavy,13:55:00,50100,13:55:00,50100,2.97,4.37,7.09,14.74
157,A319,Medium,13:55:00,50100,14:14:47,51287,0.73,1.12,1.8,3.68
158,A321,Medium,13:55:00,50100,13:27:20,48440,0.93,1.42,2.37,4.97
159,XXXX,Light,13:57:00,50220,13:57:00,50220,0.12,0.19,0.33,0.75
160,A333,Heavy,13:58:00,50280,13:58:00,50280,1.57,2.31,3.79,8.04
161,A319,Medium,14:00:00,50400,13:54:07,50047,0.73,1.12,1.8,3.68
162,A321,Medium,14:00:00,50400,14:16:30,51390,0.93,1.42,2.37,4.97
163,XXXX,Light,14:01:00,50460,14:01:00,50460,0.12,0.19,0.33,0.75
164,A333,Heavy,14:03:00,50580,14:03:00,50580,1.57,2.31,3.79,8.04
165,A343,Heavy,14:05:00,50700,14:05:00,50700,1.63,2.39,3.94,8.42
166,B77W,Heavy,14:05:00,50700,14:05:00,50700,2.97,4.37,7.09,14.74
167,B77W,Heavy,14:09:00,50940,14:09:00,50940,2.97,4.37,7.09,14.74
168,B738,Medium,14:10:00,51000,14:08:31,50911,0.83,1.28,2.1,4.38
169,A320,Medium,14:10:00,51000,14:10:18,51018,0.83,1.25,2.02,4.19
170,XXXX,Light,14:11:00,51060,14:11:00,51060,0.12,0.19,0.33,0.75
171,A343,Heavy,14:12:00,51120,14:12:00,51120,1.63,2.39,3.94,8.42
172,XXXX,Light,14:15:00,51300,14:15:00,51300,0.12,0.19,0.33,0.75
173,B772,Heavy,14:15:00,51300,14:15:00,51300,1.83,2.68,4.41,9.35
174,B744,Heavy,14:18:00,51480,14:18:00,51480,2.37,3.42,5.58,11.79
175,A333,Heavy,14:21:00,51660,14:21:00,51660,1.57,2.31,3.79,8.04
176,A333,Heavy,14:22:00,51720,14:22:00,51720,1.57,2.31,3.79,8.04
177,B77W,Heavy,14:23:00,51780,14:23:00,51780,2.97,4.37,7.09,14.74
178,A320,Medium,14:25:00,51900,14:03:27,50607,0.83,1.25,2.02,4.19
179,A320,Medium,14:25:00,51900,14:48:26,53306,0.83,1.25,2.02,4.19
180,A333,Heavy,14:26:00,51960,14:26:00,51960,1.57,2.31,3.79,8.04
181,B772,Heavy,14:27:00,52020,14:27:00,52020,1.83,2.68,4.41,9.35
182,B772,Heavy,14:28:00,52080,14:28:00,52080,1.83,2.68,4.41,9.35
183,XXXX,Light,14:31:00,52260,14:31:00,52260,0.12,0.19,0.33,0.75
184,XXXX,Light,14:32:00,52320,14:32:00,52320,0.12,0.19,0.33,0.75
185,B738,Medium,14:35:00,52500,14:01:53,50513,0.83,1.28,2.1,4.38
186,A320,Medium,14:35:00,52500,14:15:09,51309,0.83,1.25,2.02,4.19
187,B744,Heavy,14:37:00,52620,14:37:00,52620,2.37,3.42,5.58,11.79
188,B744,Heavy,14:38:00,52680,14:38:00,52680,2.37,3.42,5.58,11.79
189,B744,Heavy,14:38:00,52680,14:38:00,52680,2.37,3.42,5.58,11.79
190,B77W,Heavy,14:39:00,52740,14:39:00,52740,2.97,4.37,7.09,14.74
191,B738,Medium,14:40:00,52800,14:18:03,51483,0.83,1.28,2.1,4.38
192,A320,Medium,14:40:00,52800,14:38:07,52687,0.83,1.25,2.02,4.19
193,A343,Heavy,14:42:00,52920,14:42:00,52920,1.63,2.39,3.94,8.42
194,A333,Heavy,14:43:00,52980,14:43:00,52980,1.57,2.31,3.79,8.04
195,XXXX,Light,14:45:00,53100,14:45:00,53100,0.12,0.19,0.33,0.75
196,A320,Medium,14:45:00,53100,14:55:11,53711,0.83,1.25,2.02,4.19
197,B738,Medium,14:45:00,53100,14:31:50,52310,0.83,1.28,2.1,4.38
198,B772,Heavy,14:47:00,53220,14:47:00,53220,1.83,2.68,4.41,9.35
199,XXXX,Light,14:54:00,53640,14:54:00,53640,0.12,0.19,0.33,0.75
200,XXXX,Light,14:55:00,53700,14:55:00,53700,0.12,0.19,0.33,0.75
201,A320,Medium,14:55:00,53700,15:10:41,54641,0.83,1.25,2.02,4.19
202,XXXX,Light,14:58:00,53880,14:58:00,53880,0.12,0.19,0.33,0.75
203,A343,Heavy,14:59:00,53940,14:59:00,53940,1.63,2.39,3.94,8.42
204,XXXX,Light,14:59:00,53940,14:59:00,53940,0.12,0.19,0.33,0.75
205,B738,Medium,15:00:00,54000,15:36:18,56178,0.83,1.28,2.1,4.38
206,B738,Medium,15:00:00,54000,15:00:26,54026,0.83,1.28,2.1,4.38
